id,name,count
931,jealousy,197
4290,toy,19
5202,boy,68
6054,friendship,411
9713,friends,167
9823,rivalry,89
165503,boy next door,3
170722,new toy,2
187065,toy comes to life,17
10090,board game,8
10941,disappearance,67
15101,based on children's book,32
33467,new home,10
158086,recluse,8
158091,giant insect,15
1495,fishing,24
12392,best friend,130
179431,duringcreditsstinger,440
208510,old men,2
818,based on novel,835
10131,interracial relationship,32
14768,single mother,61
15160,divorce,136
33455,chick flick,3
1009,baby,111
1599,midlife crisis,38
2246,confidence,16
4995,aging,29
5600,daughter,183
10707,mother daughter relationship,139
13149,pregnancy,142
33358,contraception,3
170521,gynecologist,7
642,robbery,225
703,detective,233
974,bank,67
1523,obsession,139
3713,chase,114
7281,shooting,35
9727,thief,94
9812,honor,18
9826,murder,1308
9937,suspense,590
10051,heist,101
10085,betrayal,103
10594,money,178
10726,gang,149
15076,cat and mouse,9
18023,criminal mastermind,11
34117,cult film,106
156121,ex-con,41
159343,heist movie,12
159434,one last job,3
167104,loner,12
192261,bank job,2
207268,neo-noir,97
208009,gun fight,7
214983,crime epic,2
90,paris,268
380,brother brother relationship,176
2072,chauffeur,20
9398,long island,8
9492,fusion,1
33626,millionaire,63
949,terrorist,100
1562,hostage,118
1653,explosive,17
193533,vice president,3
701,cuba,32
769,falsely accused,34
1308,secret identity,60
2812,computer virus,15
3268,secret base,6
3272,secret intelligence service,13
3278,kgb,25
3376,satellite,10
3531,special car,4
3560,cossack,5
3561,electromagnetic pulse,2
3562,time bomb,6
3563,st. petersburg russia,8
3564,ejection seat,2
193008,red army,4
833,white house,21
840,usa president,65
1605,new love,110
33476,widower,34
211505,wildlife conservation,2
3633,dracula,49
11931,spoof,101
1994,wolf,32
6411,dog-sledding race,1
9880,alaska,28
15162,dog,216
15169,goose,2
158175,bear attack,7
158370,dog sled,2
158371,frozen lake,1
2946,presidential election,15
4240,watergate scandal,6
5565,biography,629
6086,government,58
6165,historical figure,91
911,exotic island,32
1454,treasure,57
1969,map,17
3799,ship,97
5470,scalp,3
12988,pirate,71
383,poker,38
726,drug abuse,36
1228,1970s,121
2635,overdose,20
33625,illegal prostitution,43
420,bowling,9
964,servant,25
2755,country life,17
7564,jane austen,11
10911,inheritance,54
11109,military officer,14
15060,period drama,36
156507,rainstorm,6
156510,horse and carriage,3
156512,decorum,1
612,hotel,154
613,new year's eve,29
616,witch,142
622,bet,20
922,hotel room,35
2700,sperm,5
12670,los angeles,222
160488,hoodlum,67
187056,woman director,3115
198129,episode film,8
409,africa,106
1551,indigenous,9
2526,human animal relationship,25
5155,bat,14
1552,subway,39
14512,new york city,186
155735,new york subway,5
156120,train robbery,14
395,gambling,101
416,miami,28
8438,job,25
9935,travel,67
10391,mafia,121
11061,debt,52
11578,mobster,59
12094,business,35
12396,hollywood,102
13142,gangster,243
14536,crime,116
14819,violence,651
14964,drug,360
33879,producer,10
159608,con,10
796,police brutality,37
2800,psychology,36
4668,police operation,32
5430,police protection,9
10714,serial killer,293
11268,psychologist,40
13001,cowardliness,36
271,competition,110
441,assassination,93
591,cia,106
977,cat,103
1666,mexican standoff,19
2350,seattle,19
2708,hitman,140
3045,mission of murder,29
3979,hidden camera,17
10084,rescue,132
10950,shootout,116
11148,police chase,21
12355,sniper rifle,10
18107,silencer,10
33456,double cross,27
167861,caribbean,17
178929,detroit michigan,5
7345,dead animal,5
11325,shot to death,13
18068,teenage boy,31
18320,held at gunpoint,8
41355,teacher student relationship,14
163531,albino,8
163533,fainting,3
163534,jacobs ladder,1
163540,christ allegory,3
163543,psionic power,2
163545,healing power,3
163552,looking pale,1
163553,flickering light,1
163558,extrasensory perception,4
30,individual,39
549,prostitute,234
567,alcohol,114
585,casino,62
699,love at first sight,31
725,lovesickness,48
887,film producer,21
888,screenwriter,24
3737,dying and death,149
3927,rage and hate,21
6059,unsociability,36
7464,alcoholism,74
15237,alcohol abuse,17
